Date,Price
2019-12-09,"3,895.45"
2019-12-10,"3,900.38"
2019-12-11,"3,902.75"
2019-12-12,"3,891.02"
2019-12-13,"3,968.22"
2019-12-16,"3,987.55"
2019-12-17,"4,041.80"
2019-12-18,"4,032.78"
2019-12-19,"4,027.15"
2019-12-20,"4,017.25"
2019-12-23,"3,967.10"
2019-12-24,"3,992.96"
2019-12-25,"3,990.87"
2019-12-26,"4,025.99"
2019-12-27,"4,022.03"
2019-12-30,"4,081.63"
2019-12-31,"4,096.58"
2020-01-02,"4,152.24"
2020-01-03,"4,144.96"
2020-01-06,"4,129.30"
2020-01-07,"4,160.23"
2020-01-08,"4,112.32"
2020-01-09,"4,164.37"
2020-01-10,"4,163.18"
2020-01-13,"4,203.99"
2020-01-14,"4,189.89"
2020-01-15,"4,166.73"
2020-01-16,"4,149.04"
2020-01-17,"4,154.85"
2020-01-20,"4,185.83"
2020-01-21,"4,114.31"
2020-01-22,"4,131.93"
2020-01-23,"4,003.90"
2020-02-03,"3,688.36"
2020-02-04,"3,785.64"
2020-02-05,"3,828.53"
2020-02-06,"3,899.78"
2020-02-07,"3,899.87"
2020-02-10,"3,916.01"
2020-02-11,"3,952.46"
2020-02-12,"3,984.43"
2020-02-13,"3,959.92"
2020-02-14,"3,987.73"
2020-02-17,"4,077.42"
2020-02-18,"4,057.51"
2020-02-19,"4,051.31"
2020-02-20,"4,144.66"
2020-02-21,"4,149.49"
2020-02-24,"4,132.84"
2020-02-25,"4,123.85"
2020-02-26,"4,073.02"
2020-02-27,"4,084.88"
2020-02-28,"3,940.05"
2020-03-02,"4,069.67"
2020-03-03,"4,091.36"
2020-03-04,"4,115.05"
2020-03-05,"4,206.73"
2020-03-06,"4,138.51"
2020-03-09,"3,997.13"
2020-03-10,"4,082.73"
2020-03-11,"4,028.43"
2020-03-12,"3,950.91"
2020-03-13,"3,895.31"
2020-03-16,"3,727.84"
2020-03-17,"3,709.68"
2020-03-18,"3,636.26"
2020-03-19,"3,589.09"
2020-03-20,"3,653.22"
2020-03-23,"3,530.31"
2020-03-24,"3,625.11"
2020-03-25,"3,722.52"
2020-03-26,"3,698.05"
2020-03-27,"3,710.06"
2020-03-30,"3,674.11"
2020-03-31,"3,686.16"
2020-04-01,"3,675.08"
2020-04-02,"3,734.53"
2020-04-03,"3,713.22"
2020-04-07,"3,798.02"
2020-04-08,"3,780.34"
2020-04-09,"3,792.81"
2020-04-10,"3,769.18"
2020-04-13,"3,753.26"
2020-04-14,"3,825.70"
2020-04-15,"3,797.36"
2020-04-16,"3,802.38"
2020-04-17,"3,839.49"
2020-04-20,"3,853.46"
2020-04-21,"3,808.05"
2020-04-22,"3,839.38"
2020-04-23,"3,829.75"
2020-04-24,"3,796.97"
2020-04-27,"3,822.77"
2020-04-28,"3,849.15"
2020-04-29,"3,867.03"
2020-04-30,"3,912.58"
2020-05-06,"3,936.25"
2020-05-07,"3,924.89"
2020-05-08,"3,963.62"
2020-05-11,"3,960.18"
2020-05-12,"3,960.24"
2020-05-13,"3,968.25"
2020-05-14,"3,925.22"
2020-05-15,"3,912.82"
2020-05-18,"3,922.91"
2020-05-19,"3,956.25"
2020-05-20,"3,935.22"
2020-05-21,"3,913.79"
2020-05-22,"3,824.06"
2020-05-25,"3,829.32"
2020-05-26,"3,872.77"
2020-05-27,"3,845.61"
2020-05-28,"3,856.63"
2020-05-29,"3,867.02"
2020-06-01,"3,971.34"
2020-06-02,"3,983.57"
2020-06-03,"3,983.65"
2020-06-04,"3,982.19"
2020-06-05,"4,001.25"
2020-06-08,"4,021.95"
2020-06-09,"4,047.03"
2020-06-10,"4,039.71"
2020-06-11,"3,995.88"
2020-06-12,"4,003.08"
2020-06-15,"3,954.99"
2020-06-16,"4,014.57"
2020-06-17,"4,017.59"
2020-06-18,"4,044.38"
2020-06-19,"4,098.71"
2020-06-22,"4,102.05"
2020-06-23,"4,121.79"
2020-06-24,"4,138.99"
2020-06-29,"4,109.72"
2020-06-30,"4,163.96"
2020-07-01,"4,247.78"
2020-07-02,"4,335.84"
2020-07-03,"4,419.60"
2020-07-06,"4,670.09"
2020-07-07,"4,698.13"
