Date,Price
2019-12-09,"3,136.00"
2019-12-10,"3,132.50"
2019-12-11,"3,141.60"
2019-12-12,"3,168.60"
2019-12-13,"3,168.80"
2019-12-16,"3,191.40"
2019-12-17,"3,192.50"
2019-12-18,"3,191.10"
2019-12-19,"3,205.40"
2019-12-20,"3,221.20"
2019-12-23,"3,224.00"
2019-12-24,"3,223.40"
2019-12-26,"3,239.90"
2019-12-27,"3,240.00"
2019-12-30,"3,221.30"
2019-12-31,"3,230.80"
2020-01-02,"3,257.80"
2020-01-03,"3,234.80"
2020-01-06,"3,246.30"
2020-01-07,"3,237.20"
2020-01-08,"3,253.10"
2020-01-09,"3,274.70"
2020-01-10,"3,265.30"
2020-01-13,"3,288.10"
2020-01-14,"3,283.20"
2020-01-15,"3,289.30"
2020-01-16,"3,316.80"
2020-01-17,"3,329.60"
2020-01-21,"3,320.80"
2020-01-22,"3,321.80"
2020-01-23,"3,325.50"
2020-01-24,"3,295.50"
2020-01-27,"3,243.60"
2020-01-28,"3,276.20"
2020-01-29,"3,273.40"
2020-01-30,"3,283.70"
2020-01-31,"3,225.50"
2020-02-03,"3,248.90"
2020-02-04,"3,297.60"
2020-02-05,"3,334.70"
2020-02-06,"3,345.80"
2020-02-07,"3,327.70"
2020-02-10,"3,352.10"
2020-02-11,"3,357.80"
2020-02-12,"3,379.40"
2020-02-13,"3,373.90"
2020-02-14,"3,380.20"
2020-02-18,"3,370.30"
2020-02-19,"3,386.20"
2020-02-20,"3,373.20"
2020-02-21,"3,337.80"
2020-02-24,"3,225.90"
2020-02-25,"3,128.20"
2020-02-26,"3,116.40"
2020-02-27,"2,978.80"
2020-02-28,"2,954.20"
2020-03-02,"3,090.20"
2020-03-03,"3,003.40"
2020-03-04,"3,130.10"
2020-03-05,"3,023.90"
2020-03-06,"2,972.40"
2020-03-09,"2,746.60"
2020-03-10,"2,882.20"
2020-03-11,"2,741.40"
2020-03-12,"2,480.60"
2020-03-13,"2,711.00"
2020-03-16,"2,386.10"
2020-03-17,"2,529.20"
2020-03-18,"2,398.10"
2020-03-19,"2,409.40"
2020-03-20,"2,304.90"
2020-03-23,"2,237.40"
2020-03-24,"2,447.30"
2020-03-25,"2,475.60"
2020-03-26,"2,630.10"
2020-03-27,"2,541.50"
2020-03-30,"2,626.70"
2020-03-31,"2,584.60"
2020-04-01,"2,470.50"
2020-04-02,"2,526.90"
2020-04-03,"2,488.70"
2020-04-06,"2,663.70"
2020-04-07,"2,659.40"
2020-04-08,"2,750.00"
2020-04-09,"2,789.80"
2020-04-13,"2,761.60"
2020-04-14,"2,846.10"
2020-04-15,"2,783.40"
2020-04-16,"2,799.60"
2020-04-17,"2,874.60"
2020-04-20,"2,823.20"
2020-04-21,"2,736.60"
2020-04-22,"2,799.30"
2020-04-23,"2,797.80"
2020-04-24,"2,836.70"
2020-04-27,"2,878.50"
2020-04-28,"2,863.40"
2020-04-29,"2,939.50"
2020-04-30,"2,912.40"
2020-05-01,"2,830.70"
2020-05-04,"2,842.70"
2020-05-05,"2,868.40"
2020-05-06,"2,848.40"
2020-05-07,"2,881.20"
2020-05-08,"2,929.80"
2020-05-11,"2,930.30"
2020-05-12,"2,870.10"
2020-05-13,"2,820.00"
2020-05-14,"2,852.50"
2020-05-15,"2,863.70"
2020-05-18,"2,953.90"
2020-05-19,"2,922.90"
2020-05-20,"2,971.60"
2020-05-21,"2,948.50"
2020-05-22,"2,955.40"
2020-05-26,"2,991.80"
2020-05-27,"3,036.10"
2020-05-28,"3,029.70"
2020-05-29,"3,044.30"
2020-06-01,"3,055.70"
2020-06-02,"3,080.80"
2020-06-03,"3,122.90"
2020-06-04,"3,112.30"
2020-06-05,"3,193.90"
2020-06-08,"3,232.40"
2020-06-09,"3,207.20"
2020-06-10,"3,190.10"
2020-06-11,"3,002.10"
2020-06-12,"3,041.30"
2020-06-15,"3,066.60"
2020-06-16,"3,124.70"
2020-06-17,"3,113.50"
2020-06-18,"3,115.30"
2020-06-19,"3,097.70"
2020-06-22,"3,117.90"
2020-06-23,"3,131.30"
2020-06-24,"3,050.30"
2020-06-25,"3,083.80"
2020-06-26,"3,009.10"
2020-06-29,"3,053.20"
2020-06-30,"3,100.30"
2020-07-01,"3,115.90"
2020-07-02,"3,130.00"
2020-07-06,"3,179.70"
2020-07-07,"3,145.30"
2020-07-08,"3,169.90"
2020-07-09,"3,152.10"
2020-07-10,"3,185.00"
2020-07-13,"3,155.20"
2020-07-14,"3,197.50"
2020-07-15,"3,226.60"
2020-07-16,"3,215.60"
2020-07-17,"3,224.70"
2020-07-20,"3,251.80"
2020-07-21,"3,257.30"
2020-07-22,"3,276.00"
2020-07-23,"3,235.70"
2020-07-24,"3,215.60"
2020-07-27,"3,239.40"
2020-07-28,"3,218.40"
2020-07-29,"3,258.40"
2020-07-30,"3,246.20"
2020-07-31,"3,271.10"
2020-08-03,"3,294.60"
2020-08-04,"3,306.50"
2020-08-05,"3,327.80"
2020-08-06,"3,349.20"
2020-08-07,"3,351.30"
2020-08-10,"3,360.50"
2020-08-11,"3,333.70"
