Date,Price
2019-12-09,1461.89
2019-12-10,1463.96
2019-12-11,1474.75
2019-12-12,1469.33
2019-12-13,1475.5586
2019-12-16,1476.0013
2019-12-17,1476.2
2019-12-18,1475.1862
2019-12-19,1479.0472
2019-12-20,1477.9497
2019-12-23,1485.27
2019-12-24,1498.81
2019-12-25,1498.6
2019-12-26,1511.2979
2019-12-27,1510.4167
2019-12-30,1515.123
2019-12-31,1517.01
2020-01-01,1516.89
2020-01-02,1528.85
2020-01-03,1551.4027
2020-01-06,1565.8586
2020-01-07,1573.8876
2020-01-08,1555.71
2020-01-09,1552.2688
2020-01-10,1562.033
2020-01-13,1548.0518
2020-01-14,1546.1237
2020-01-15,1555.9351
2020-01-16,1552.54
2020-01-17,1556.2247
2020-01-20,1561.28
2020-01-21,1557.73
2020-01-22,1558.62
2020-01-23,1563.025
2020-01-24,1570.365
2020-01-27,1581.65
2020-01-28,1565.86
2020-01-29,1576.7175
2020-01-30,1573.92
2020-01-31,1589.8149
2020-02-03,1576.05
2020-02-04,1552.26
2020-02-05,1556.405
2020-02-06,1566.5601
2020-02-07,1569.9058
2020-02-10,1571.9
2020-02-11,1567.42
2020-02-12,1565.3267
2020-02-13,1576.095
2020-02-14,1584.3199
2020-02-17,1580.8
2020-02-18,1601.665
2020-02-19,1611.3447
2020-02-20,1619.4056
2020-02-21,1643.316
2020-02-24,1660.4226
2020-02-25,1635.08
2020-02-26,1639.5757
2020-02-27,1641.95
2020-02-28,1584.74
2020-03-02,1590.4301
2020-03-03,1639.4686
2020-03-04,1635.4479
2020-03-05,1670.3092
2020-03-06,1673.85
2020-03-09,1679.6
2020-03-10,1649.0699
2020-03-11,1634.525
2020-03-12,1576.785
2020-03-13,1529.3101
2020-03-16,1513.91
2020-03-17,1528.275
2020-03-18,1486.0
2020-03-19,1469.8
2020-03-20,1497.64
2020-03-23,1553.0649
2020-03-24,1610.025
2020-03-25,1613.2939
2020-03-26,1628.974
2020-03-27,1617.5
2020-03-30,1621.9293
2020-03-31,1571.05
2020-04-01,1590.59
2020-04-02,1612.4102
2020-04-03,1616.45
2020-04-06,1661.7017
2020-04-07,1648.4656
2020-04-08,1645.77
2020-04-09,1683.8199
2020-04-10,1688.9
2020-04-13,1714.0699
2020-04-14,1727.7
2020-04-15,1715.7102
2020-04-16,1717.6824
2020-04-17,1684.1899
2020-04-20,1692.9242
2020-04-21,1685.7231
2020-04-22,1713.451
2020-04-23,1731.33
2020-04-24,1727.43
2020-04-27,1714.2019
2020-04-28,1707.5066
2020-04-29,1711.2502
2020-04-30,1680.09
2020-05-01,1699.1212
2020-05-04,1701.4399
2020-05-05,1705.9637
2020-05-06,1685.6268
2020-05-07,1717.6899
2020-05-08,1700.65
2020-05-11,1695.9811
2020-05-12,1702.1411
2020-05-13,1715.2899
2020-05-14,1729.2729
2020-05-15,1741.0
2020-05-18,1732.0699
2020-05-19,1743.8083
2020-05-20,1748.9836
2020-05-21,1725.2075
2020-05-22,1734.07
2020-05-25,1729.1925
2020-05-26,1711.2485
2020-05-27,1708.8744
2020-05-28,1718.504
2020-05-29,1726.3
2020-06-01,1740.0031
2020-06-02,1727.0498
2020-06-03,1697.51
2020-06-04,1710.6176
2020-06-05,1685.23
2020-06-08,1694.6018
2020-06-09,1714.3199
2020-06-10,1736.2377
2020-06-11,1727.1537
2020-06-12,1729.7666
2020-06-15,1724.6075
2020-06-16,1726.9637
2020-06-17,1726.29
2020-06-18,1722.618
2020-06-19,1742.8442
2020-06-22,1754.4644
2020-06-23,1766.5139
2020-06-24,1761.4308
2020-06-25,1761.4869
2020-06-26,1770.6208
2020-06-29,1771.4926
2020-06-30,1780.665
2020-07-01,1770.005
2020-07-02,1775.135
2020-07-03,1774.7869
2020-07-06,1783.5635
2020-07-07,1794.26
2020-07-08,1810.1248
2020-07-09,1802.8186
2020-07-10,1798.3121
2020-07-13,1802.7087
2020-07-14,1807.53
2020-07-15,1811.3073
2020-07-16,1796.6324
2020-07-17,1808.9
2020-07-20,1815.3971
2020-07-21,1841.5784
2020-07-22,1871.7535
2020-07-23,1886.8636
2020-07-24,1900.975
2020-07-27,1941.8771
2020-07-28,1958.9288
2020-07-29,1970.3718
2020-07-30,1959.5
2020-07-31,1974.69
2020-08-03,1976.6975
2020-08-04,2018.0686
2020-08-05,2039.4
2020-08-06,2063.1875
2020-08-07,2034.6244
2020-08-10,2027.2568
2020-08-11,1911.2482
2020-08-12,1917.8199
2020-08-13,1953.0334
2020-08-14,1943.7562
2020-08-17,1985.5291
2020-08-18,2000.95
2020-08-19,1929.54
2020-08-20,1942.6
2020-08-21,1939.4042
2020-08-24,1932.4495
2020-08-25,1927.9399
2020-08-26,1953.453
2020-08-27,1928.9099
2020-08-28,1964.4921
2020-08-31,1969.75
2020-09-01,1970.1415
2020-09-02,1942.6206
2020-09-03,1930.5197
2020-09-04,1932.45
2020-09-07,1928.8224
2020-09-08,1930.9283
2020-09-09,1946.6556
2020-09-10,1954.0699
2020-09-11,1941.5
2020-09-14,1956.3691
2020-09-15,1955.5201
2020-09-16,1959.3182
2020-09-17,1942.6
2020-09-18,1949.6927
2020-09-21,1912.5699
2020-09-22,1899.2814
2020-09-23,1863.5499
2020-09-24,1868.036
2020-09-25,1860.05
2020-09-28,1880.8511
2020-09-29,1897.6899
2020-09-30,1885.4399
2020-10-01,1905.0491
2020-10-02,1898.7
2020-10-05,1912.8979
2020-10-06,1877.1262
2020-10-07,1887.2233
2020-10-08,1893.0909
2020-10-09,1929.43
2020-10-12,1921.9496
2020-10-13,1890.818
2020-10-14,1900.887
2020-10-15,1907.824
2020-10-16,1898.97
2020-10-19,1904.2697
2020-10-20,1906.3853
2020-10-21,1924.4941
2020-10-22,1904.042
2020-10-23,1900.7946
2020-10-26,1901.6938
2020-10-27,1906.83
2020-10-28,1877.0619
2020-10-29,1867.1346
2020-10-30,1877.95
2020-11-02,1895.0955
2020-11-03,1908.36
2020-11-04,1903.21
2020-11-05,1948.56
2020-11-06,1951.51
